Lockdown Time,Lockup Time,cost,status£¨0 for unstable£¬1 for stable£©
2019/6/17 9:38,2019/6/17 15:23,10,1
2019/6/17 9:44,2019/6/17 12:29,5,1
2019/6/17 9:49,2019/6/17 19:51,10,1
2019/6/17 9:50,2019/6/17 17:18,10,1
2019/6/17 9:54,2019/6/17 18:41,10,1
2019/6/17 10:12,2019/6/17 12:51,5,1
2019/6/17 10:14,2019/6/17 13:21,5,1
2019/6/17 10:25,2019/6/17 15:16,5,1
2019/6/17 10:29,2019/6/17 17:03,10,1
2019/6/17 10:54,2019/6/17 16:47,10,1
2019/6/17 11:23,2019/6/17 19:47,10,1
2019/6/17 11:24,2019/6/17 12:10,0,1
2019/6/17 12:16,2019/6/17 15:52,5,1
2019/6/17 12:27,2019/6/17 17:36,10,1
2019/6/17 13:34,2019/6/17 17:31,5,1
2019/6/17 13:53,2019/6/17 18:18,5,1
2019/6/17 14:45,2019/6/17 21:21,10,1
2019/6/18 8:10,2019/6/18 17:34,10,1
2019/6/18 8:15,2019/6/18 17:48,10,1
2019/6/18 8:18,2019/6/18 18:05,10,1
2019/6/18 8:19,2019/6/18 19:05,10,1
2019/6/18 8:27,2019/6/18 18:06,10,1
2019/6/18 8:27,2019/6/18 18:48,10,1
2019/6/18 8:36,2019/6/18 17:50,10,1
2019/6/18 8:37,2019/6/18 18:01,10,1
2019/6/18 8:40,2019/6/18 21:38,10,1
2019/6/18 8:45,2019/6/18 18:12,10,1
2019/6/18 8:50,2019/6/18 18:10,10,1
2019/6/18 8:51,2019/6/18 9:44,0,1
2019/6/18 8:51,2019/6/18 17:36,10,1
2019/6/18 8:52,2019/6/18 17:02,10,1
2019/6/18 8:52,2019/6/18 17:39,10,1
2019/6/18 8:54,2019/6/18 17:41,10,1
2019/6/18 8:55,2019/6/18 15:34,10,1
2019/6/18 8:55,2019/6/18 9:50,0,1
2019/6/18 8:56,2019/6/18 17:13,10,1
2019/6/18 9:00,2019/6/18 13:03,5,1
2019/6/18 9:03,2019/6/18 17:37,10,1
2019/6/18 9:05,2019/6/18 12:53,5,1
2019/6/18 9:07,2019/6/18 19:14,10,1
2019/6/18 9:14,2019/6/18 18:11,10,1
2019/6/18 9:16,2019/6/18 18:01,10,1
2019/6/18 9:17,2019/6/18 18:19,10,1
2019/6/18 9:18,2019/6/18 9:33,0,1
2019/6/18 9:20,2019/6/18 18:09,10,1
2019/6/18 9:20,2019/6/18 9:21,0,1
2019/6/18 9:40,2019/6/18 14:11,5,1
2019/6/18 9:40,2019/6/18 17:52,10,1
2019/6/18 9:48,2019/6/18 10:55,5,1
2019/6/18 9:51,2019/6/18 15:23,10,1
2019/6/18 9:53,2019/6/18 14:42,5,1
2019/6/18 9:55,2019/6/18 17:49,10,1
2019/6/18 9:58,2019/6/18 12:50,5,1
2019/6/18 10:18,2019/6/18 18:02,10,1
2019/6/18 10:22,2019/6/18 18:26,10,1
2019/6/18 10:53,2019/6/18 12:05,5,1
2019/6/18 11:12,2019/6/18 11:48,0,0
2019/6/18 11:36,2019/6/18 15:03,5,1
2019/6/18 12:12,2019/6/18 17:41,10,1
2019/6/18 12:27,2019/6/18 15:15,5,1
2019/6/18 13:01,2019/6/18 18:27,10,1
2019/6/18 13:05,2019/6/18 18:37,10,1
2019/6/18 13:21,2019/6/18 18:11,5,1
2019/6/18 13:50,2019/6/18 17:17,5,1
2019/6/18 13:53,2019/6/18 15:25,5,1
2019/6/18 15:54,2019/6/18 18:09,5,1
2019/6/18 16:02,2019/6/18 16:49,0,1
2019/6/19 8:08,2019/6/19 8:08,0,1
2019/6/19 8:20,2019/6/19 8:20,0,1
2019/6/19 8:32,2019/6/19 17:08,10,1
2019/6/19 8:35,2019/6/19 8:40,0,1
2019/6/19 8:37,2019/6/19 8:50,0,1
2019/6/19 8:38,2019/6/19 8:38,0,1
2019/6/19 8:40,2019/6/19 14:39,10,1
